"","k.star.lme","k.star.mcmc","se.lme","se.mcmc"
"Festuca_ovina",0.889008389219932,0.868484617507099,0.395883062951974,0.406451241334383
"Festuca_rubra",0.909896906058175,0.891158271442632,0.400638775143866,0.402648688071345
"Festuca_tucumanica",1.74583168398454,1.74018235500611,0.513269368925246,0.511390493788891
"Festuca_varia",1.24413143648087,1.21514829912994,0.500753815983547,0.527554146684937
"Ficus_boliviana",1.63838606348142,1.63297455412462,0.569007840073294,0.589893919391559
"Ficus_carica",3.11088138028435,3.08942837166958,0.42350645945271,0.423866565297267
"Ficus_drupacea",1.89422735496174,1.86225560448413,0.498233923470902,0.503161811439061
"Ficus_erecta",2.63587148077795,2.59824407718182,0.616376284410347,0.60906869273799
"Ficus_eximia",1.14107426249701,1.1241710698706,0.569007840073308,0.571024488758678
"Ficus_gasparriniana",2.22669792680826,2.21373142025569,0.444165249313695,0.445089911870338
"Ficus_virens",0.940314652024316,0.91607890768889,0.499638800140335,0.517268728674012
"Filipendula_ulmaria",1.23766122876944,1.21295429819876,0.40413208488886,0.409930416963514
"Filipendula_vulgaris",1.20361589127928,1.19129822139231,0.489252112940067,0.488655261505916
"Fissistigma_maclurei",1.03437580795628,1.00549334644949,0.498233923470897,0.514545002890381
"Fissistigma_tientangense",0.563871515255322,0.551614831853439,0.498233923470902,0.500033040548557
"Flavocetraria_cucullata",1.82528238328987,1.80235539233691,0.5001651276343,0.499217715453395
"Flavocetraria_nivalis",1.61815780275148,1.57758409604873,0.500165127634307,0.516459593844666
"Flourensia_campestris",2.8218613841134,2.81357727044253,0.513269368925237,0.504311997491266
"Fragaria_vesca",1.56328131119574,1.55791792446863,0.489252112940069,0.498408171664074
"Frangula_alnus",2.80081678080676,2.7942659699096,0.496802938332968,0.493500794332373
"Frangula_caroliniana",2.20381344855964,2.18234602760096,0.496802938332969,0.499045115430131
"Frangula_sphaerosperma",2.80445780288927,2.80204990300579,0.534758298002757,0.559452078422453
"Fraxinus_americana",1.65927886247618,1.61458736921067,0.445285205382666,0.446780607155273
"Fraxinus_angustifolia",1.69930533362954,1.67615399703729,0.367202611897965,0.36645441970949
"Fraxinus_excelsior",2.08600249537186,2.06517189052653,0.382641304751222,0.388879085820772
"Freycinetia_baueriana",0.360126249609075,0.311427805949793,0.514855066774515,0.511628517489649
"Fuchsia_excorticata",2.36484220947273,2.32200759177426,0.458796134251052,0.46552144815716
"Fuchsia_magellanica",1.69441363168765,1.67849638905042,0.423506459452713,0.421184873502909
"Fumaria_officinalis",3.59545903324419,3.56641823538722,0.494255004448812,0.494396907313742
"Gagea_fistulosa",2.45978933728397,2.43902830249591,0.500753815983558,0.504980681341724
"Gahnia_filum",1.32542968104648,1.30377529988405,0.539455414307691,0.530839261540007
"Gahnia_pauciflora",0.316517174751904,0.290887710262385,0.514855066774514,0.515365323100973
"Gaillardia_pinnatifida",1.98208827765374,1.96437125014268,0.500107462911566,0.490405482979084
"Galium_aparine",2.45674011351977,2.43834263909633,0.485013674191362,0.489584476567926
"Galium_boreale",1.82500475086542,1.80152973447705,0.489252112940065,0.491032193423771
"Galium_verum",1.5540013804023,1.54154750137282,0.429976691692699,0.424038797076197
"Gayophytum_diffusum",1.69931931115378,1.68029429424902,0.500107462911572,0.492500231950749
"Geijera_parviflora",0.963541505132122,0.949730384981888,0.559840810388479,0.55564404823064
"Geniostoma_rupestre",2.28612327818437,2.26330664696271,0.514855066774518,0.505189129789754
"Genista_monspessulana",1.82119675979946,1.80481810802156,0.497974347055912,0.490027324606548
"Gentiana_septemfida",2.12157243792001,2.10972827160517,0.500753815983551,0.516846937300084
"Gentiana_straminea",1.77236621753718,1.7467425341923,0.540634176954388,0.53330892574829
"Gentianella_parviflora",2.77711996831526,2.76993457644813,0.513269368925238,0.521300159817167
"Geonoma_cuneata",0.679316515955585,0.666570611524745,0.558356229974273,0.550963296653797
"Geranium_caespitosum",1.87248004798468,1.8420386401153,0.500107462911562,0.498385988221058
"Geranium_gymnocaulon",1.62692286641129,1.60952692349501,0.500753815983551,0.507339410760595
"Geranium_sylvaticum",1.86936132573611,1.83881439206322,0.427269315659737,0.426644398467092
"Gigantochloa_albociliata",0.937867877069501,0.910199774134607,0.498233923470897,0.503317539857623
